"generator" "L" "R" "n" "h" "run" "nsols"
"uncorr" 1 50 200 2 20 2
"wcorr" 1 50 400 11 16 1497
"wcorr" 1 50 400 1 17 9891
"wcorr" 1 50 400 2 17 31
"wcorr" 1 50 400 3 17 6
"wcorr" 1 50 400 4 17 2
"wcorr" 1 50 400 5 17 988165
"wcorr" 1 50 400 6 17 1322464457
"wcorr" 1 50 400 7 17 1569517
"wcorr" 1 50 400 8 17 2660
"wcorr" 1 50 400 9 17 1057
"uncorr" 1 50 200 3 20 2
"wcorr" 1 50 400 10 17 278188
"wcorr" 1 50 400 11 17 1143
"wcorr" 1 50 400 1 18 144
"wcorr" 1 50 400 2 18 5250
"wcorr" 1 50 400 3 18 9
"wcorr" 1 50 400 4 18 2974
"wcorr" 1 50 400 5 18 2655
"wcorr" 1 50 400 6 18 7
"wcorr" 1 50 400 7 18 19893
"wcorr" 1 50 400 8 18 1516
"uncorr" 1 50 200 4 20 1
"wcorr" 1 50 400 9 18 2197
"wcorr" 1 50 400 10 18 4532
"wcorr" 1 50 400 11 18 2268
"wcorr" 1 50 400 1 19 1
"wcorr" 1 50 400 2 19 591
"wcorr" 1 50 400 3 19 185494
"wcorr" 1 50 400 4 19 27066
"wcorr" 1 50 400 5 19 6
"wcorr" 1 50 400 6 19 9815589
"wcorr" 1 50 400 7 19 319
"uncorr" 1 50 200 5 20 2
"wcorr" 1 50 400 8 19 8775
"wcorr" 1 50 400 9 19 11162
"wcorr" 1 50 400 10 19 18897
"wcorr" 1 50 400 11 19 5025
"wcorr" 1 50 400 1 20 3671
"wcorr" 1 50 400 2 20 11566
"wcorr" 1 50 400 3 20 17087
"wcorr" 1 50 400 4 20 18820
"wcorr" 1 50 400 5 20 1782
"wcorr" 1 50 400 6 20 186972592
"uncorr" 1 50 200 6 20 4
"wcorr" 1 50 400 7 20 10697
"wcorr" 1 50 400 8 20 391
"wcorr" 1 50 400 9 20 9677
"wcorr" 1 50 400 10 20 1567
"wcorr" 1 50 400 11 20 24
"wcorr" 1 50 400 1 21 95
"wcorr" 1 50 400 2 21 84
"wcorr" 1 50 400 3 21 14277
"wcorr" 1 50 400 4 21 95
"wcorr" 1 50 400 5 21 216
"uncorr" 1 50 50 6 10 3
"uncorr" 1 50 200 7 20 3
"wcorr" 1 50 400 6 21 2390854
"wcorr" 1 50 400 7 21 16807
"wcorr" 1 50 400 8 21 4529
"wcorr" 1 50 400 9 21 2048
"wcorr" 1 50 400 10 21 24372
"wcorr" 1 50 400 11 21 1920
"wcorr" 1 50 400 1 22 11673
"wcorr" 1 50 400 2 22 1876
"wcorr" 1 50 400 3 22 473
"wcorr" 1 50 400 4 22 4552
"uncorr" 1 50 200 8 20 4
"wcorr" 1 50 400 5 22 15468
"wcorr" 1 50 400 6 22 130845
"wcorr" 1 50 400 7 22 6130
"wcorr" 1 50 400 8 22 112119
"wcorr" 1 50 400 9 22 1
"wcorr" 1 50 400 10 22 12535
"wcorr" 1 50 400 11 22 4131
"wcorr" 1 50 400 1 23 46569
"wcorr" 1 50 400 2 23 2
"wcorr" 1 50 400 3 23 1
"uncorr" 1 50 200 9 20 3
"wcorr" 1 50 400 4 23 582
"wcorr" 1 50 400 5 23 112
"wcorr" 1 50 400 6 23 24224941345
"wcorr" 1 50 400 7 23 19
"wcorr" 1 50 400 8 23 23
"wcorr" 1 50 400 9 23 3
"wcorr" 1 50 400 10 23 879
"wcorr" 1 50 400 11 23 10
"wcorr" 1 50 400 1 24 686
"wcorr" 1 50 400 2 24 139695
"uncorr" 1 50 200 10 20 1
"wcorr" 1 50 400 3 24 87
"wcorr" 1 50 400 4 24 819
"wcorr" 1 50 400 5 24 84149
"wcorr" 1 50 400 6 24 37
"wcorr" 1 50 400 7 24 4
"wcorr" 1 50 400 8 24 4423
"wcorr" 1 50 400 9 24 1761
"wcorr" 1 50 400 10 24 111800
"wcorr" 1 50 400 11 24 43
"wcorr" 1 50 400 1 25 149
"uncorr" 1 50 200 11 20 1
"wcorr" 1 50 400 2 25 302996
"wcorr" 1 50 400 3 25 41093
"wcorr" 1 50 400 4 25 63877
"wcorr" 1 50 400 5 25 91
"wcorr" 1 50 400 6 25 33202841588
"wcorr" 1 50 400 7 25 11973
"wcorr" 1 50 400 8 25 6997
"wcorr" 1 50 400 9 25 6697
"wcorr" 1 50 400 10 25 1688
"wcorr" 1 50 400 11 25 1179
"uncorr" 1 50 200 1 21 3
"wcorr" 1 50 450 1 1 30
"wcorr" 1 50 450 2 1 55
"wcorr" 1 50 450 3 1 148
"wcorr" 1 50 450 4 1 165281
"wcorr" 1 50 450 5 1 231
"wcorr" 1 50 450 6 1 211007231707
"wcorr" 1 50 450 7 1 810
"wcorr" 1 50 450 8 1 514223
"wcorr" 1 50 450 9 1 187
"wcorr" 1 50 450 10 1 8
"uncorr" 1 50 200 2 21 3
"wcorr" 1 50 450 11 1 3684
"wcorr" 1 50 450 1 2 170
"wcorr" 1 50 450 2 2 223
"wcorr" 1 50 450 3 2 562
"wcorr" 1 50 450 4 2 91592
"wcorr" 1 50 450 5 2 80878
"wcorr" 1 50 450 6 2 129
"wcorr" 1 50 450 7 2 24192
"wcorr" 1 50 450 8 2 1
"wcorr" 1 50 450 9 2 358
"uncorr" 1 50 200 3 21 5
"wcorr" 1 50 450 10 2 5807
"wcorr" 1 50 450 11 2 96
"wcorr" 1 50 450 1 3 49736
"wcorr" 1 50 450 2 3 4
"wcorr" 1 50 450 3 3 101794
"wcorr" 1 50 450 4 3 92
"wcorr" 1 50 450 5 3 48469
"wcorr" 1 50 450 6 3 2040557474748
"wcorr" 1 50 450 7 3 13325
"wcorr" 1 50 450 8 3 4433
"uncorr" 1 50 200 4 21 5
"wcorr" 1 50 450 9 3 14647
"wcorr" 1 50 450 10 3 10
"wcorr" 1 50 450 11 3 19199
"wcorr" 1 50 450 1 4 61
"wcorr" 1 50 450 2 4 12
"wcorr" 1 50 450 3 4 670
"wcorr" 1 50 450 4 4 31
"wcorr" 1 50 450 5 4 25073953
"wcorr" 1 50 450 6 4 31613700164
"wcorr" 1 50 450 7 4 3353
"uncorr" 1 50 200 5 21 2
"wcorr" 1 50 450 8 4 1714373
"wcorr" 1 50 450 9 4 13801
"wcorr" 1 50 450 10 4 100574
"wcorr" 1 50 450 11 4 26287
"wcorr" 1 50 450 1 5 110
"wcorr" 1 50 450 2 5 1192787
"wcorr" 1 50 450 3 5 35848
"wcorr" 1 50 450 4 5 35918
"wcorr" 1 50 450 5 5 69417
"wcorr" 1 50 450 6 5 28068916167
"uncorr" 1 50 50 7 10 1
"uncorr" 1 50 200 6 21 1
"wcorr" 1 50 450 7 5 4066
"wcorr" 1 50 450 8 5 5
"wcorr" 1 50 450 9 5 23751
"wcorr" 1 50 450 10 5 5372
"wcorr" 1 50 450 11 5 1796
"wcorr" 1 50 450 1 6 880
"wcorr" 1 50 450 2 6 633
"wcorr" 1 50 450 3 6 31401
"wcorr" 1 50 450 4 6 380307
"wcorr" 1 50 450 5 6 2713308393
"uncorr" 1 50 200 7 21 1
"wcorr" 1 50 450 6 6 14940355
"wcorr" 1 50 450 7 6 10920
"wcorr" 1 50 450 8 6 140629
"wcorr" 1 50 450 9 6 134263
"wcorr" 1 50 450 10 6 6731
"wcorr" 1 50 450 11 6 22835
"wcorr" 1 50 450 1 7 4127
"wcorr" 1 50 450 2 7 1267
"wcorr" 1 50 450 3 7 40
"wcorr" 1 50 450 4 7 385511
"uncorr" 1 50 200 8 21 1
"wcorr" 1 50 450 5 7 69451
"wcorr" 1 50 450 6 7 19926943
"wcorr" 1 50 450 7 7 162
"wcorr" 1 50 450 8 7 36049
"wcorr" 1 50 450 9 7 12267
"wcorr" 1 50 450 10 7 219044
"wcorr" 1 50 450 11 7 51
"wcorr" 1 50 450 1 8 3703
"wcorr" 1 50 450 2 8 644
"wcorr" 1 50 450 3 8 439867
"uncorr" 1 50 200 9 21 1
"wcorr" 1 50 450 4 8 654559
"wcorr" 1 50 450 5 8 294
"wcorr" 1 50 450 6 8 273441839541
"wcorr" 1 50 450 7 8 92115
"wcorr" 1 50 450 8 8 27380
"wcorr" 1 50 450 9 8 12746
"wcorr" 1 50 450 10 8 1399
"wcorr" 1 50 450 11 8 15
"wcorr" 1 50 450 1 9 688
"wcorr" 1 50 450 2 9 3967
"uncorr" 1 50 200 10 21 2
"wcorr" 1 50 450 3 9 394
"wcorr" 1 50 450 4 9 1
"wcorr" 1 50 450 5 9 5636119
"wcorr" 1 50 450 6 9 10512096794
"wcorr" 1 50 450 7 9 14591704
"wcorr" 1 50 450 8 9 9747
"wcorr" 1 50 450 9 9 1561
"wcorr" 1 50 450 10 9 1732483
"wcorr" 1 50 450 11 9 1912
"wcorr" 1 50 450 1 10 49
"uncorr" 1 50 200 11 21 2
"wcorr" 1 50 450 2 10 447267
"wcorr" 1 50 450 3 10 264
"wcorr" 1 50 450 4 10 889278
"wcorr" 1 50 450 5 10 1747562
"wcorr" 1 50 450 6 10 2481608
"wcorr" 1 50 450 7 10 12345
"wcorr" 1 50 450 8 10 4073433
"wcorr" 1 50 450 9 10 939361
"wcorr" 1 50 450 10 10 5
"wcorr" 1 50 450 11 10 2
"uncorr" 1 50 200 1 22 1
"wcorr" 1 50 450 1 11 361
"wcorr" 1 50 450 2 11 496
"wcorr" 1 50 450 3 11 32856
"wcorr" 1 50 450 4 11 14196
"wcorr" 1 50 450 5 11 482802
"wcorr" 1 50 450 6 11 1439167
"wcorr" 1 50 450 7 11 309603
"wcorr" 1 50 450 8 11 16
"wcorr" 1 50 450 9 11 81204
